Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
39,All cancers,044,BHS,Bahamas,0,192.73,109.23,Latin America and the Caribbean
39,All cancers,600,PRY,Paraguay,0,192.24,89.87,Latin America and the Caribbean
39,All cancers,152,CHL,Chile,0,188.67,90.13,Latin America and the Caribbean
39,All cancers,780,TTO,Trinidad and Tobago,0,186.71,96.83,Latin America and the Caribbean
39,All cancers,904,,Latin America and the Caribbean,0,185.95,85.48,Latin America and the Caribbean
39,All cancers,862,VEN,Venezuela,0,184.79,91.31,Latin America and the Caribbean
39,All cancers,188,CRI,Costa Rica,0,177.73,75.33,Latin America and the Caribbean
39,All cancers,170,COL,Colombia,0,177.62,81.36,Latin America and the Caribbean
39,All cancers,604,PER,Peru,0,173.81,82.37,Latin America and the Caribbean
39,All cancers,740,SUR,Suriname,0,169.46,91.51,Latin America and the Caribbean
39,All cancers,214,DOM,Dominican Republic,0,167.02,92.01,Latin America and the Caribbean
39,All cancers,662,LCA,Saint Lucia,0,166.77,76.1,Latin America and the Caribbean
39,All cancers,591,PAN,Panama,0,154.86,65.71,Latin America and the Caribbean
39,All cancers,218,ECU,Ecuador,0,152.7,75.96,Latin America and the Caribbean
39,All cancers,068,BOL,Bolivia,0,143.77,85.07,Latin America and the Caribbean
39,All cancers,328,GUY,Guyana,0,142.49,70.19,Latin America and the Caribbean
39,All cancers,332,HTI,Haiti,0,141.05,92.22,Latin America and the Caribbean
39,All cancers,484,MEX,Mexico,0,140.93,63.51,Latin America and the Caribbean
39,All cancers,558,NIC,Nicaragua,0,133.48,76.77,Latin America and the Caribbean
39,All cancers,340,HND,Honduras,0,127.96,83.25,Latin America and the Caribbean
39,All cancers,222,SLV,El Salvador,0,127.11,64.73,Latin America and the Caribbean
39,All cancers,320,GTM,Guatemala,0,121.77,71.14,Latin America and the Caribbean
39,All cancers,084,BLZ,Belize,0,114.72,59.87,Latin America and the Caribbean
39,All cancers,840,USA,United States of America,0,366.95,82.33,Northern America
39,All cancers,905,,Northern America,0,364.67,83.9,Northern America
39,All cancers,124,CAN,Canada,0,345.94,96.37,Northern America
39,All cancers,036,AUS,Australia,0,462.51,84.62,Oceania
39,All cancers,554,NZL,New Zealand,0,427.32,100.23,Oceania
39,All cancers,909,,Oceania,0,409.03,93.38,Oceania
39,All cancers,540,NCL,New Caledonia,0,287.55,113.16,Oceania
39,All cancers,882,WSM,Samoa,0,240.01,126.26,Oceania
39,All cancers,258,PYF,French Polynesia,0,228.07,122.26,Oceania
39,All cancers,598,PNG,Papua New Guinea,0,188.69,119.83,Oceania
39,All cancers,242,FJI,Fiji,0,174.79,98.48,Oceania
39,All cancers,316,GUM,Guam,0,167.19,101.12,Oceania
39,All cancers,090,SLB,Solomon Islands,0,134.8,74.62,Oceania
39,All cancers,548,VUT,Vanuatu,0,108.16,67.8,Oceania
